GDG DevFest Cairo 2016,"We are delightful to introduce the most anticipated event this year ""GDG DevFest Cairo 2016"" organized by GDG Cairo and GDG New Cairo.

GDG DevFests are large, community-run events that offer speaker sessions across multiple product areas, all-day hack-a-thons, code labs, and much more.

More than 140 GDG DevFest events are hosted this year around the world, and we are proud to be participating in this global series for the fourth time in a row with GDG DevFest Cairo 2016.

Registration Form: http://bit.ly/DevFestCairo16

GDG DevFest Cairo 2016 Topics:
- Firebase - The New Google Platform!
- Do's and Dont's of Social Media Marketing for Mobile Apps
- Design Thinking
- It's All About Marketing
- React Native + Firebase to Create a Messaging App
- Firebase - Getting Started for Android

For more information regarding the GDG DevFest Season 2016, kindly check the following link: https://developers.google.com/events/devfest/

#GDG #DevFest16 #Cairo #OneMoreGDG #TheNextBigThing",attending
PYF BBQ NIGHT,"Dearest Parthenians,

With our new comer brothers and sisters finishing off their midterms, what could be better than 

A BBQ NIGHT!

Join us this Thursday from 6:00 PM for a night full of laughter, fun, and most importantly: BARBEQUE! So come hungry and ready for some real fun 🎉

*Date: Thursday, November 23rd.
*Place: St. Hedra's building roof at St. Mark's church, Heliopolis.
*Price: EGP 60
*Registration deadline: Tuesday, November 21st in OnWings

For reservations, please contact:
Michael Morcos +20 100 713 4319
David Maged Awad : +20 100 504 8994
Sherry Ibrahim : +20 128 942 0809
Peter S. Armanyous : +20 127 789 6665
David Sameh : +20 111 6567658

Feel free to to bring your own food and brag about your cooking skills!",attending
Hash Code 2017 by Google,"Think you could come up with a way to optimize the layout of a Google data center? Or how about routing Google Street View cars through a busy city?  

Step into the shoes of a Google engineer and tackle similar challenges during Hash Code (g.co/hashcode), a team-based programming competition for students and professionals (18+) across Europe, the Middle East and Africa organized by Google. You pick your team and programming language, we pick a real-life engineering problem to solve. Are you up for the challenge?

The competition is divided into two stages:

Online Qualification Round
23rd February 2017, 18:30 - 22:30 CET
For this round, your team can participate from wherever you’d like, including one of our Hash Code hubs. Hubs allow for teams in the same location (eg. city or university) to compete side-by-side in a more fun and exciting environment.

Final Round
1st April 2017
Top scoring teams from the Online Qualification Round will be invited to Google Paris to compete in the Final Round of the competition.

Registration is now open at g.co/hashcode.",attending
Java Programming Diploma,"عايز تكون مبرمج محترف من البداية على ايدي خبراء محترفين وعمل مشاريع واقعية ممكن تلتحق بدبلومة Java Programming Diploma:
البداية الأتنين- 6-مارس, 02:00 م وحتى 06:00 م
أيام أثنين- أربعاء من كل اسبوع

العنوان: 20 ش محمود فؤاد- متفرع من جمال نوح- من عمر بن الخطاب- ألماظة. القاهرة
Object Oriented 
-----------------------
You'll gain hands on experience with basic object oriented concepts like inheritance, encapsulation and abstraction. Learn to create and use simple Java classes containing arrays, loops and conditional constructs.

Java Programming & Advanced Topics
----------------------------------------------------
Accelebrate's Advanced Java Programming training course teaches Java developers a set of advanced Java development skills, including generics, threads, reflection, annotations, and sockets.
Learn To:
- Create Java technology applications with the latest JDK Technology
- Develop your object-oriented skills
- Identify good practices in the use of the language to create robust  Java application
- Use Lambda expressions in Java applications
- Store and manipulate data using collections
- Manipulate files, directories and file systems
- Connect to databases using standard SQL queries through JDBC
- Create high-performance multi-threaded applications
- Make effective use of Java generic types
- Write multi-threaded Java applications
- Use the Reflection API for highly generic tasks, discovery, or code-generation
- Use standard annotations and develop custom annotations to - express meta-data in Java source files
- Communicate between processes using network sockets

لمزيد من المعلومات ارجوا ملئ البيانات التالية وسوف نقوم بالتواصل
for Registeration Click https://goo.gl/forms/5TqYZxQXaW2v9Xuh2
Sure we will call you back soon
للاستفسار او الجحز : 01227472664",unsure
درب الصليب 2018,"إِنِّي أُرِيدُ رَحْمَةً لاَ ذَبِيحَةً (هو ٦:٦)

تدعوكم كنيسه السيده العذراء مريم بأرض الجولف لحضور خدمه 
درب الصليب لعام ٢٠١٨

مواعيد توزيع التذاكر:
•الجمعه ٢٣ مارس الساعه ٥ مساءا
•السبت ٢٤ مارس الساعه ١٢ مساءا
• الأحد ٢٥ مارس الساعه ٦ مساءا

مواعيد الخدمه :
• الاربعاء ٢٨ مارس
• الخميس ٢٩ مارس
• الجمعه ٣٠ مارس 

سوف يتم فتح الأبواب الساعه السابعه مساءا ، وسوف تغلق الساعه الثامنه إلا ربع و الخدمه تبدأ الساعه الثامنه مساءا

صلوا للخدمه والرساله :)

درب الصليب ٢٠١٨",unsure
"Kreate, Kompile, Kotlin.","GDG New Cairo is proudly presenting its first workshop for Android Development titled ""Kreate, Kompile, Kotlin."" using the new Android first-class language ""Kotlin"" at Via Coworking Space in Nasr City. 🔥🙈

Agenda:
4:00 pm - 4:30 pm: Registration
4:30 pm - 5:00 pm: GDG Introduction
5:00 pm - 6:00 pm: Introduction to Kotlin by Tarek Abdul-Kader
6:00 pm - 6:30 pm: Coffee Break
6:30 pm - 7:30 pm: Kotlin for Android Workshop by Shady Selim
7:30 pm - 8:00 pm: Networking & Closing

Registration Link: https://www.meetup.com/gdgnewcairo/events/241450829/
⚠️ By joining our Meetup event, you will be automatically added to the attendees list.

For more information, don't hesitate to contact us through our Facebook messages.

#GDG #Android #Kreate #Kompile #Kotlin #Workshop",unsure
Siemens Renewable Energies workshop,"< St. Antony lovers  Authority in Germany >
Renewable Energies and Storage Systems: Opportunities and Challenges
-> Workshop will be from 15 – 17 March 2018 in God Love Hostel in El-Zaiton,Cairo.
-> Organizers : Prof . Winfried Brunner, Dr. Ayman Ayad   
-> Electrical, Mechanical, Mechatronics and Communication Engineers and students can participate.
-> The registration form will be available with your faculty family leader or contact us directly
-> The dead line for registration 28 Feb. 2018
-> The workshop fees + the journey (25 L.E.) only

For more information please visit our 

Facebook page:
Renewable Energies workshop Mar. 2018

Facebook Group:
Renewable Energies workshop Mar. 2018",unsure
Koora,,unsure
لعب كرة القدم ,,unsure
Maker Hackathon Cairo,"وبعد شهور من انتظار كل الميكرز وكل مهندس او تيم مستني يبدأ ال Startup الخاص به, وبعد شهور من التخطيط والشغل ؛ Dimensions بدأت فعاليات MakerHackathon Cairo للسنه التالته علي التوالي 
- ايه MakerHackathon cairo ؟
MakerHackathon هي اول مسابقة هاردوير في مصر بينظمها Dimensions Student Organizationعبارة عن تلات ايام تبدأ فيهم مشروعك انت والتيم بتاعك وتقدر تحول فكرتك لنموذج اولي او نهائي علي ارض الواقع 

- امتيMaker Hackathon ؟ وفين؟

MakerHackathon السنادي هيكون في  ITI (Information Technology Institute) في القرية الذكية      وهيكون في 2 و 3 و 4 فبراير.

وخلال الثلاث ايام هنوفرلك كل ال Hardware tools الي ممكن تحتاجها من ابسط حاجة ولحد ال Laser Cutters &     3D printers غير كل الembedded systems زي الArduino  و الAVR والRasperry pie 
غير ان هيكون معك mentors متخصصين هيساعدوك في اي مشكلة ممكن تواجهك في تحقيق فكرتك .
وفي اليوم الثالث هيكون كل فريق قدر انه ينفذ نموذج اولي او نهائي من المنتج وهيتم عرضه في نهاية اليوم علي لجنة تحكيم من شركات مختلفة لاختيار افضل الفرق للفوز 

- ازاي اقدر اشارك في  MakerHackathon السنادي؟

اذا كنت طالب او خريج تقدر تشارك.
لو عندك فكرة وفريق عمل ينفذها يبقي شيء ممتاز 
لو أنت مهندس و فريقك ناقصه تخصص معين زي المبيعات أو التسويق او جزء معين في الTechnical ، ده المكان المناسب إلي تتعرف في علي ناس متخصصة وتكمل التيم بتاعك
لو إنت متخصص في مجال معين زي التصميم الصناعي أو البرمجة لكن مفيش فكرة معينة في دماغك وحابب تشارك، ممكن تنضم مع فريق عمل بتخصصك وتساهم في تنفيذ الفكرة :)
في كل الأحوال أهلاً بيك وأهم حاجة تستفاد من الثلاث أيام أقصى إستفادة :)
اهم حاجة الفيديو اللي هتعمله انت والتيم بتاعك عشان تقدر تقنع الmentors بفكرتك:)

- طيب والفيديو ده اعمله ازاي ؟
تقدر تفرا البوست ده كويس وتعمل فيديو زيه :D
https://www.facebook.com/events/224736977971537/permalink/228308270947741/

- طيب و اية الجوايز؟

الجوايز عبارة عن دعم مادي لتنفيذ الفكرة من خلال منصة التمويل الجماعي Zoomaal.com ده غير دعم مادي والتقني المباشر من الشركات الي معانا   وتقدر تتعرف علي جوايز السنه اللي فاتت من هنا
https://www.facebook.com/events/1681932062029496/permalink/1704704809752221

وتقدر تقدم دلوقتي علي موقع MakerHackathon
http://makerhackathon.com
و تختار خانه Maker Hackathon Cairo application 

#MakerHackathon
#Dimensions8",unsure
